Date,Country,Value 
1-Mar,Armenia,1
2-Mar,Armenia,1
3-Mar,Armenia,1
4-Mar,Armenia,1
5-Mar,Armenia,1
6-Mar,Armenia,1
7-Mar,Armenia,1
8-Mar,Armenia,1
9-Mar,Armenia,1
10-Mar,Armenia,1
11-Mar,Armenia,1
12-Mar,Armenia,4
13-Mar,Armenia,6
14-Mar,Armenia,13
15-Mar,Armenia,20
16-Mar,Armenia,30
17-Mar,Armenia,52
18-Mar,Armenia,78
19-Mar,Armenia,115
20-Mar,Armenia,122
21-Mar,Armenia,136
22-Mar,Armenia,160
23-Mar,Armenia,190
24-Mar,Armenia,194
25-Mar,Armenia,265
26-Mar,Armenia,290
27-Mar,Armenia,329
28-Mar,Armenia,372
29-Mar,Armenia,424
30-Mar,Armenia,482
31-Mar,Armenia,532
1-Apr,Armenia,571
2-Apr,Armenia,663
3-Apr,Armenia,736
4-Apr,Armenia,770
5-Apr,Armenia,822
6-Apr,Armenia,833
7-Apr,Armenia,853
8-Apr,Armenia,881
9-Apr,Armenia,921
10-Apr,Armenia,937
11-Apr,Armenia,967
12-Apr,Armenia,1013
13-Apr,Armenia,1039
14-Apr,Armenia,1067
15-Apr,Armenia,1111
16-Apr,Armenia,1159
17-Apr,Armenia,1201
18-Apr,Armenia,1248
19-Apr,Armenia,1291
20-Apr,Armenia,1339
21-Apr,Armenia,1401
22-Apr,Armenia,1473
23-Apr,Armenia,1523
24-Apr,Armenia,1596
25-Apr,Armenia,1677
26-Apr,Armenia,1746
27-Apr,Armenia,1808
28-Apr,Armenia,1867
29-Apr,Armenia,1932
30-Apr,Armenia,2066
1-May,Armenia,2148
2-May,Armenia,2273
3-May,Armenia,2386
4-May,Armenia,2507
5-May,Armenia,2619
6-May,Armenia,2782
7-May,Armenia,2884
8-May,Armenia,3029
9-May,Armenia,3175
1-Mar,Azerbaijan,1
2-Mar,Azerbaijan,3
3-Mar,Azerbaijan,3
4-Mar,Azerbaijan,3
5-Mar,Azerbaijan,3
6-Mar,Azerbaijan,6
7-Mar,Azerbaijan,9
8-Mar,Azerbaijan,9
9-Mar,Azerbaijan,9
10-Mar,Azerbaijan,9
11-Mar,Azerbaijan,9
12-Mar,Azerbaijan,11
13-Mar,Azerbaijan,13
14-Mar,Azerbaijan,13
15-Mar,Azerbaijan,19
16-Mar,Azerbaijan,19
17-Mar,Azerbaijan,19
18-Mar,Azerbaijan,28
19-Mar,Azerbaijan,34
20-Mar,Azerbaijan,44
21-Mar,Azerbaijan,44
22-Mar,Azerbaijan,53
23-Mar,Azerbaijan,65
24-Mar,Azerbaijan,72
25-Mar,Azerbaijan,87
26-Mar,Azerbaijan,93
27-Mar,Azerbaijan,122
28-Mar,Azerbaijan,165
29-Mar,Azerbaijan,182
30-Mar,Azerbaijan,209
31-Mar,Azerbaijan,298
1-Apr,Azerbaijan,359
2-Apr,Azerbaijan,400
3-Apr,Azerbaijan,443
4-Apr,Azerbaijan,521
5-Apr,Azerbaijan,584
6-Apr,Azerbaijan,641
7-Apr,Azerbaijan,717
8-Apr,Azerbaijan,822
9-Apr,Azerbaijan,926
10-Apr,Azerbaijan,991
11-Apr,Azerbaijan,1058
12-Apr,Azerbaijan,1098
13-Apr,Azerbaijan,1148
14-Apr,Azerbaijan,1197
15-Apr,Azerbaijan,1253
16-Apr,Azerbaijan,1283
17-Apr,Azerbaijan,1340
18-Apr,Azerbaijan,1373
19-Apr,Azerbaijan,1398
20-Apr,Azerbaijan,1436
21-Apr,Azerbaijan,1480
22-Apr,Azerbaijan,1518
23-Apr,Azerbaijan,1548
24-Apr,Azerbaijan,1592
25-Apr,Azerbaijan,1617
26-Apr,Azerbaijan,1645
27-Apr,Azerbaijan,1678
28-Apr,Azerbaijan,1717
29-Apr,Azerbaijan,1766
30-Apr,Azerbaijan,1804
1-May,Azerbaijan,1854
2-May,Azerbaijan,1894
3-May,Azerbaijan,1932
4-May,Azerbaijan,1984
5-May,Azerbaijan,2060
6-May,Azerbaijan,2127
7-May,Azerbaijan,2204
8-May,Azerbaijan,2279
9-May,Azerbaijan,2422
1-Mar,Azerbaijan,1
2-Mar,Azerbaijan,3
3-Mar,Azerbaijan,3
4-Mar,Azerbaijan,3
5-Mar,Azerbaijan,3
6-Mar,Azerbaijan,6
7-Mar,Azerbaijan,9
8-Mar,Azerbaijan,9
9-Mar,Azerbaijan,9
10-Mar,Azerbaijan,9
11-Mar,Azerbaijan,9
12-Mar,Azerbaijan,11
13-Mar,Azerbaijan,13
14-Mar,Azerbaijan,13
15-Mar,Azerbaijan,19
16-Mar,Azerbaijan,19
17-Mar,Azerbaijan,19
18-Mar,Azerbaijan,28
19-Mar,Azerbaijan,34
20-Mar,Azerbaijan,44
21-Mar,Azerbaijan,44
22-Mar,Azerbaijan,53
23-Mar,Azerbaijan,65
24-Mar,Azerbaijan,72
25-Mar,Azerbaijan,87
26-Mar,Azerbaijan,93
27-Mar,Azerbaijan,122
28-Mar,Azerbaijan,165
29-Mar,Azerbaijan,182
30-Mar,Azerbaijan,209
31-Mar,Azerbaijan,298
1-Apr,Azerbaijan,359
2-Apr,Azerbaijan,400
3-Apr,Azerbaijan,443
4-Apr,Azerbaijan,521
5-Apr,Azerbaijan,584
6-Apr,Azerbaijan,641
7-Apr,Azerbaijan,717
8-Apr,Azerbaijan,822
9-Apr,Azerbaijan,926
10-Apr,Azerbaijan,991
11-Apr,Azerbaijan,1058
12-Apr,Azerbaijan,1098
13-Apr,Azerbaijan,1148
14-Apr,Azerbaijan,1197
15-Apr,Azerbaijan,1253
16-Apr,Azerbaijan,1283
17-Apr,Azerbaijan,1340
18-Apr,Azerbaijan,1373
19-Apr,Azerbaijan,1398
20-Apr,Azerbaijan,1436
21-Apr,Azerbaijan,1480
22-Apr,Azerbaijan,1518
23-Apr,Azerbaijan,1548
24-Apr,Azerbaijan,1592
25-Apr,Azerbaijan,1617
26-Apr,Azerbaijan,1645
27-Apr,Azerbaijan,1678
28-Apr,Azerbaijan,1717
29-Apr,Azerbaijan,1766
30-Apr,Azerbaijan,1804
1-May,Azerbaijan,1854
2-May,Azerbaijan,1894
3-May,Azerbaijan,1932
4-May,Azerbaijan,1984
5-May,Azerbaijan,2060
6-May,Azerbaijan,2127
7-May,Azerbaijan,2204
8-May,Azerbaijan,2279
9-May,Azerbaijan,2422
1-Mar,Georgia,3
2-Mar,Georgia,3
3-Mar,Georgia,3
4-Mar,Georgia,3
5-Mar,Georgia,3
6-Mar,Georgia,9
7-Mar,Georgia,9
8-Mar,Georgia,12
9-Mar,Georgia,13
10-Mar,Georgia,15
11-Mar,Georgia,23
12-Mar,Georgia,24
13-Mar,Georgia,25
14-Mar,Georgia,30
15-Mar,Georgia,30
16-Mar,Georgia,30
17-Mar,Georgia,33
18-Mar,Georgia,34
19-Mar,Georgia,34
20-Mar,Georgia,40
21-Mar,Georgia,43
22-Mar,Georgia,49
23-Mar,Georgia,54
24-Mar,Georgia,61
25-Mar,Georgia,70
26-Mar,Georgia,73
27-Mar,Georgia,79
28-Mar,Georgia,81
29-Mar,Georgia,85
30-Mar,Georgia,90
31-Mar,Georgia,110
1-Apr,Georgia,115
2-Apr,Georgia,130
3-Apr,Georgia,148
4-Apr,Georgia,157
5-Apr,Georgia,174
6-Apr,Georgia,188
7-Apr,Georgia,195
8-Apr,Georgia,208
9-Apr,Georgia,214
10-Apr,Georgia,230
11-Apr,Georgia,242
12-Apr,Georgia,252
13-Apr,Georgia,266
14-Apr,Georgia,296
15-Apr,Georgia,306
16-Apr,Georgia,336
17-Apr,Georgia,370
18-Apr,Georgia,385
19-Apr,Georgia,394
20-Apr,Georgia,399
21-Apr,Georgia,408
22-Apr,Georgia,411
23-Apr,Georgia,420
24-Apr,Georgia,431
25-Apr,Georgia,456
26-Apr,Georgia,485
27-Apr,Georgia,496
28-Apr,Georgia,511
29-Apr,Georgia,517
30-Apr,Georgia,539
1-May,Georgia,566
2-May,Georgia,582
3-May,Georgia,589
4-May,Georgia,593
5-May,Georgia,604
6-May,Georgia,610
7-May,Georgia,615
8-May,Georgia,623
9-May,Georgia,626
1-Mar,Kazakhstan,
2-Mar,Kazakhstan,
3-Mar,Kazakhstan,
4-Mar,Kazakhstan,
5-Mar,Kazakhstan,
6-Mar,Kazakhstan,
7-Mar,Kazakhstan,
8-Mar,Kazakhstan,
9-Mar,Kazakhstan,
10-Mar,Kazakhstan,
11-Mar,Kazakhstan,
12-Mar,Kazakhstan,
13-Mar,Kazakhstan,
14-Mar,Kazakhstan,
15-Mar,Kazakhstan,6
16-Mar,Kazakhstan,9
17-Mar,Kazakhstan,11
18-Mar,Kazakhstan,33
19-Mar,Kazakhstan,37
20-Mar,Kazakhstan,49
21-Mar,Kazakhstan,53
22-Mar,Kazakhstan,56
23-Mar,Kazakhstan,60
24-Mar,Kazakhstan,62
25-Mar,Kazakhstan,79
26-Mar,Kazakhstan,88
27-Mar,Kazakhstan,120
28-Mar,Kazakhstan,193
29-Mar,Kazakhstan,229
30-Mar,Kazakhstan,284
31-Mar,Kazakhstan,340
1-Apr,Kazakhstan,375
2-Apr,Kazakhstan,423
3-Apr,Kazakhstan,464
4-Apr,Kazakhstan,525
5-Apr,Kazakhstan,584
6-Apr,Kazakhstan,629
7-Apr,Kazakhstan,685
8-Apr,Kazakhstan,709
9-Apr,Kazakhstan,764
10-Apr,Kazakhstan,802
11-Apr,Kazakhstan,859
12-Apr,Kazakhstan,911
13-Apr,Kazakhstan,979
14-Apr,Kazakhstan,1202
15-Apr,Kazakhstan,1290
16-Apr,Kazakhstan,1362
17-Apr,Kazakhstan,1498
18-Apr,Kazakhstan,1615
19-Apr,Kazakhstan,1676
20-Apr,Kazakhstan,1775
21-Apr,Kazakhstan,1967
22-Apr,Kazakhstan,2047
23-Apr,Kazakhstan,2251
24-Apr,Kazakhstan,2376
25-Apr,Kazakhstan,2564
26-Apr,Kazakhstan,2693
27-Apr,Kazakhstan,2835
28-Apr,Kazakhstan,3019
29-Apr,Kazakhstan,3105
30-Apr,Kazakhstan,3356
1-May,Kazakhstan,3574
2-May,Kazakhstan,3800
3-May,Kazakhstan,3913
4-May,Kazakhstan,4028
5-May,Kazakhstan,4179
6-May,Kazakhstan,4344
7-May,Kazakhstan,4530
8-May,Kazakhstan,4794
9-May,Kazakhstan,4946
1-Mar,Kyrgyzstan,
2-Mar,Kyrgyzstan,
3-Mar,Kyrgyzstan,
4-Mar,Kyrgyzstan,
5-Mar,Kyrgyzstan,
6-Mar,Kyrgyzstan,
7-Mar,Kyrgyzstan,
8-Mar,Kyrgyzstan,
9-Mar,Kyrgyzstan,
10-Mar,Kyrgyzstan,
11-Mar,Kyrgyzstan,
12-Mar,Kyrgyzstan,
13-Mar,Kyrgyzstan,
14-Mar,Kyrgyzstan,
15-Mar,Kyrgyzstan,
16-Mar,Kyrgyzstan,
17-Mar,Kyrgyzstan,
18-Mar,Kyrgyzstan,
19-Mar,Kyrgyzstan,3
20-Mar,Kyrgyzstan,6
21-Mar,Kyrgyzstan,6
22-Mar,Kyrgyzstan,14
23-Mar,Kyrgyzstan,14
24-Mar,Kyrgyzstan,16
25-Mar,Kyrgyzstan,42
26-Mar,Kyrgyzstan,44
27-Mar,Kyrgyzstan,44
28-Mar,Kyrgyzstan,58
29-Mar,Kyrgyzstan,84
30-Mar,Kyrgyzstan,84
31-Mar,Kyrgyzstan,107
1-Apr,Kyrgyzstan,111
2-Apr,Kyrgyzstan,116
3-Apr,Kyrgyzstan,130
4-Apr,Kyrgyzstan,144
5-Apr,Kyrgyzstan,147
6-Apr,Kyrgyzstan,216
7-Apr,Kyrgyzstan,228
8-Apr,Kyrgyzstan,270
9-Apr,Kyrgyzstan,280
10-Apr,Kyrgyzstan,298
11-Apr,Kyrgyzstan,339
12-Apr,Kyrgyzstan,377
13-Apr,Kyrgyzstan,419
14-Apr,Kyrgyzstan,430
15-Apr,Kyrgyzstan,449
16-Apr,Kyrgyzstan,466
17-Apr,Kyrgyzstan,489
18-Apr,Kyrgyzstan,506
19-Apr,Kyrgyzstan,545
20-Apr,Kyrgyzstan,568
21-Apr,Kyrgyzstan,590
22-Apr,Kyrgyzstan,612
23-Apr,Kyrgyzstan,631
24-Apr,Kyrgyzstan,656
25-Apr,Kyrgyzstan,665
26-Apr,Kyrgyzstan,682
27-Apr,Kyrgyzstan,695
28-Apr,Kyrgyzstan,708
29-Apr,Kyrgyzstan,729
30-Apr,Kyrgyzstan,746
1-May,Kyrgyzstan,756
2-May,Kyrgyzstan,769
3-May,Kyrgyzstan,795
4-May,Kyrgyzstan,830
5-May,Kyrgyzstan,843
6-May,Kyrgyzstan,871
7-May,Kyrgyzstan,895
8-May,Kyrgyzstan,906
9-May,Kyrgyzstan,931
1-Mar,Tajikistan,
2-Mar,Tajikistan,
3-Mar,Tajikistan,
4-Mar,Tajikistan,
5-Mar,Tajikistan,
6-Mar,Tajikistan,
7-Mar,Tajikistan,
8-Mar,Tajikistan,
9-Mar,Tajikistan,
10-Mar,Tajikistan,
11-Mar,Tajikistan,
12-Mar,Tajikistan,
13-Mar,Tajikistan,
14-Mar,Tajikistan,
15-Mar,Tajikistan,
16-Mar,Tajikistan,
17-Mar,Tajikistan,
18-Mar,Tajikistan,
19-Mar,Tajikistan,
20-Mar,Tajikistan,
21-Mar,Tajikistan,
22-Mar,Tajikistan,
23-Mar,Tajikistan,
24-Mar,Tajikistan,
25-Mar,Tajikistan,
26-Mar,Tajikistan,
27-Mar,Tajikistan,
28-Mar,Tajikistan,
29-Mar,Tajikistan,
30-Mar,Tajikistan,
31-Mar,Tajikistan,
1-Apr,Tajikistan,
2-Apr,Tajikistan,
3-Apr,Tajikistan,
4-Apr,Tajikistan,
5-Apr,Tajikistan,
6-Apr,Tajikistan,
7-Apr,Tajikistan,
8-Apr,Tajikistan,
9-Apr,Tajikistan,
10-Apr,Tajikistan,
11-Apr,Tajikistan,
12-Apr,Tajikistan,
13-Apr,Tajikistan,
14-Apr,Tajikistan,
15-Apr,Tajikistan,
16-Apr,Tajikistan,
17-Apr,Tajikistan,
18-Apr,Tajikistan,
19-Apr,Tajikistan,
20-Apr,Tajikistan,
21-Apr,Tajikistan,
22-Apr,Tajikistan,
23-Apr,Tajikistan,
24-Apr,Tajikistan,
25-Apr,Tajikistan,
26-Apr,Tajikistan,
27-Apr,Tajikistan,
28-Apr,Tajikistan,
29-Apr,Tajikistan,
30-Apr,Tajikistan,15
1-May,Tajikistan,32
2-May,Tajikistan,76
3-May,Tajikistan,128
4-May,Tajikistan,230
5-May,Tajikistan,293
6-May,Tajikistan,379
7-May,Tajikistan,461
8-May,Tajikistan,522
9-May,Tajikistan,612
1-Mar,Uzbekistan,
2-Mar,Uzbekistan,
3-Mar,Uzbekistan,
4-Mar,Uzbekistan,
5-Mar,Uzbekistan,
6-Mar,Uzbekistan,
7-Mar,Uzbekistan,
8-Mar,Uzbekistan,
9-Mar,Uzbekistan,
10-Mar,Uzbekistan,
11-Mar,Uzbekistan,
12-Mar,Uzbekistan,
13-Mar,Uzbekistan,
14-Mar,Uzbekistan,
15-Mar,Uzbekistan,
16-Mar,Uzbekistan,6
17-Mar,Uzbekistan,8
18-Mar,Uzbekistan,16
19-Mar,Uzbekistan,23
20-Mar,Uzbekistan,23
21-Mar,Uzbekistan,33
22-Mar,Uzbekistan,33
23-Mar,Uzbekistan,46
24-Mar,Uzbekistan,49
25-Mar,Uzbekistan,55
26-Mar,Uzbekistan,65
27-Mar,Uzbekistan,83
28-Mar,Uzbekistan,104
29-Mar,Uzbekistan,133
30-Mar,Uzbekistan,145
31-Mar,Uzbekistan,167
1-Apr,Uzbekistan,173
2-Apr,Uzbekistan,190
3-Apr,Uzbekistan,221
4-Apr,Uzbekistan,263
5-Apr,Uzbekistan,298
6-Apr,Uzbekistan,390
7-Apr,Uzbekistan,504
8-Apr,Uzbekistan,534
9-Apr,Uzbekistan,582
10-Apr,Uzbekistan,669
11-Apr,Uzbekistan,729
12-Apr,Uzbekistan,833
13-Apr,Uzbekistan,934
14-Apr,Uzbekistan,1113
15-Apr,Uzbekistan,1275
16-Apr,Uzbekistan,1349
17-Apr,Uzbekistan,1390
18-Apr,Uzbekistan,1450
19-Apr,Uzbekistan,1543
20-Apr,Uzbekistan,1582
21-Apr,Uzbekistan,1657
22-Apr,Uzbekistan,1692
23-Apr,Uzbekistan,1716
24-Apr,Uzbekistan,1778
25-Apr,Uzbekistan,1836
26-Apr,Uzbekistan,1869
27-Apr,Uzbekistan,1887
28-Apr,Uzbekistan,1939
29-Apr,Uzbekistan,1969
30-Apr,Uzbekistan,2017
1-May,Uzbekistan,2075
2-May,Uzbekistan,2113
3-May,Uzbekistan,2136
4-May,Uzbekistan,2181
5-May,Uzbekistan,2204
6-May,Uzbekistan,2231
7-May,Uzbekistan,2266
8-May,Uzbekistan,2324
9-May,Uzbekistan,2349